Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/03/2020,Deliveries(from),Commons,7264000,Bricks,Great Britain,2020MarDeliveries(from)-Commons72640000301/03/2020
01/03/2020,Stocks,Commons,40005000,Bricks,Great Britain,2020MarStocks-Commons400050000301/03/2020
01/03/2020,Production,Facings,120774000,Bricks,Great Britain,2020MarProduction-Facings1207740000301/03/2020
01/03/2020,Deliveries(from),Facings,106540000,Bricks,Great Britain,2020MarDeliveries(from)-Facings1065400000301/03/2020
01/03/2020,Stocks,Facings,415630000,Bricks,Great Britain,2020MarStocks-Facings4156300000301/03/2020
01/03/2020,Production,Engineerings,10303000,Bricks,Great Britain,2020MarProduction-Engineerings103030000301/03/2020
01/03/2020,Deliveries(from),Engineerings,8234000,Bricks,Great Britain,2020MarDeliveries(from)-Engineerings82340000301/03/2020
01/03/2020,Stocks,Engineerings,29305000,Bricks,Great Britain,2020MarStocks-Engineerings293050000301/03/2020
01/04/2020,Seasonally Adjusted Deliveries,All Types,20.53147061,Bricks,Great Britain,2020AprSeasonally Adjusted Deliveries-All Types20.531470610401/04/2020
01/04/2020,Production,All Types,3715000,Bricks,Great Britain,2020AprProduction-All Types37150000401/04/2020
01/04/2020,Deliveries(from),All Types,22529000,Bricks,Great Britain,2020AprDeliveries(from)-All Types225290000401/04/2020
01/04/2020,Stocks,All Types,466126000,Bricks,Great Britain,2020AprStocks-All Types4661260000401/04/2020
01/04/2020,Production,Commons,,Bricks,Great Britain,2020AprProduction-Commonsc0401/04/2020
01/04/2020,Deliveries(from),Commons,1684000,Bricks,Great Britain,2020AprDeliveries(from)-Commons16840000401/04/2020
01/04/2020,Stocks,Commons,38545000,Bricks,Great Britain,2020AprStocks-Commons385450000401/04/2020
01/04/2020,Production,Facings,3446000,Bricks,Great Britain,2020AprProduction-Facings34460000401/04/2020
01/04/2020,Deliveries(from),Facings,17795000,Bricks,Great Britain,2020AprDeliveries(from)-Facings177950000401/04/2020
01/04/2020,Stocks,Facings,401281000,Bricks,Great Britain,2020AprStocks-Facings4012810000401/04/2020
01/04/2020,Production,Engineerings,,Bricks,Great Britain,2020AprProduction-Engineeringsc0401/04/2020
01/04/2020,Deliveries(from),Engineerings,3050000,Bricks,Great Britain,2020AprDeliveries(from)-Engineerings30500000401/04/2020
01/04/2020,Stocks,Engineerings,26300000,Bricks,Great Britain,2020AprStocks-Engineerings263000000401/04/2020
01/05/2020,Seasonally Adjusted Deliveries,All Types,66.50903155,Bricks,Great Britain,2020MaySeasonally Adjusted Deliveries-All Types66.509031550501/05/2020
01/05/2020,Production,All Types,25836000,Bricks,Great Britain,2020MayProduction-All Types258360000501/05/2020
01/05/2020,Deliveries(from),All Types,69931000,Bricks,Great Britain,2020MayDeliveries(from)-All Types699310000501/05/2020
01/05/2020,Stocks,All Types,422031000,Bricks,Great Britain,2020MayStocks-All Types4220310000501/05/2020
01/05/2020,Production,Commons,,Bricks,Great Britain,2020MayProduction-Commonsc0501/05/2020
01/05/2020,Deliveries(from),Commons,4357000,Bricks,Great Britain,2020MayDeliveries(from)-Commons43570000501/05/2020
01/05/2020,Stocks,Commons,35930000,Bricks,Great Britain,2020MayStocks-Commons359300000501/05/2020
01/05/2020,Production,Facings,23584000,Bricks,Great Britain,2020MayProduction-Facings235840000501/05/2020
01/05/2020,Deliveries(from),Facings,58261000,Bricks,Great Britain,2020MayDeliveries(from)-Facings582610000501/05/2020
01/05/2020,Stocks,Facings,366604000,Bricks,Great Britain,2020MayStocks-Facings3666040000501/05/2020
01/05/2020,Production,Engineerings,,Bricks,Great Britain,2020MayProduction-Engineeringsc0501/05/2020
01/05/2020,Deliveries(from),Engineerings,7313000,Bricks,Great Britain,2020MayDeliveries(from)-Engineerings73130000501/05/2020
01/05/2020,Stocks,Engineerings,19497000,Bricks,Great Britain,2020MayStocks-Engineerings194970000501/05/2020
01/06/2020,Seasonally Adjusted Deliveries,All Types,105.0444854,Bricks,Great Britain,2020JunSeasonally Adjusted Deliveries-All Types105.04448540601/06/2020
01/06/2020,Production,All Types,80290000,Bricks,Great Britain,2020JunProduction-All Types802900000601/06/2020
01/06/2020,Deliveries(from),All Types,123402000,Bricks,Great Britain,2020JunDeliveries(from)-All Types1234020000601/06/2020
01/06/2020,Stocks,All Types,378919000,Bricks,Great Britain,2020JunStocks-All Types3789190000601/06/2020
01/06/2020,Production,Commons,6303000,Bricks,Great Britain,2020JunProduction-Commons63030000601/06/2020
01/06/2020,Deliveries(from),Commons,8234000,Bricks,Great Britain,2020JunDeliveries(from)-Commons82340000601/06/2020
01/06/2020,Stocks,Commons,33999000,Bricks,Great Britain,2020JunStocks-Commons339990000601/06/2020
01/06/2020,Production,Facings,69356000,Bricks,Great Britain,2020JunProduction-Facings693560000601/06/2020
01/06/2020,Deliveries(from),Facings,105575000,Bricks,Great Britain,2020JunDeliveries(from)-Facings1055750000601/06/2020
01/06/2020,Stocks,Facings,330385000,Bricks,Great Britain,2020JunStocks-Facings3303850000601/06/2020
01/06/2020,Production,Engineerings,4631000,Bricks,Great Britain,2020JunProduction-Engineerings46310000601/06/2020
01/06/2020,Deliveries(from),Engineerings,9593000,Bricks,Great Britain,2020JunDeliveries(from)-Engineerings95930000601/06/2020
01/06/2020,Stocks,Engineerings,14535000,Bricks,Great Britain,2020JunStocks-Engineerings145350000601/06/2020
01/07/2020,Seasonally Adjusted Deliveries,All Types,140.4982802,Bricks,Great Britain,2020JulSeasonally Adjusted Deliveries-All Types140.49828020701/07/2020
01/07/2020,Production,All Types,135704000,Bricks,Great Britain,2020JulProduction-All Types1357040000701/07/2020
01/07/2020,Deliveries(from),All Types,155987000,Bricks,Great Britain,2020JulDeliveries(from)-All Types1559870000701/07/2020
01/07/2020,Stocks,All Types,358636000,Bricks,Great Britain,2020JulStocks-All Types3586360000701/07/2020
01/07/2020,Production,Commons,,Bricks,Great Britain,2020JulProduction-Commonsc0701/07/2020
01/07/2020,Deliveries(from),Commons,9049000,Bricks,Great Britain,2020JulDeliveries(from)-Commons90490000701/07/2020
01/07/2020,Stocks,Commons,33007000,Bricks,Great Britain,2020JulStocks-Commons330070000701/07/2020
01/07/2020,Production,Facings,115633000,Bricks,Great Britain,2020JulProduction-Facings1156330000701/07/2020
01/07/2020,Deliveries(from),Facings,134669000,Bricks,Great Britain,2020JulDeliveries(from)-Facings1346690000701/07/2020
01/07/2020,Stocks,Facings,311349000,Bricks,Great Britain,2020JulStocks-Facings3113490000701/07/2020
01/07/2020,Production,Engineerings,,Bricks,Great Britain,2020JulProduction-Engineeringsc0701/07/2020
01/07/2020,Deliveries(from),Engineerings,12269000,Bricks,Great Britain,2020JulDeliveries(from)-Engineerings122690000701/07/2020
01/07/2020,Stocks,Engineerings,14280000,Bricks,Great Britain,2020JulStocks-Engineerings142800000701/07/2020
01/08/2020,Seasonally Adjusted Deliveries,All Types,153.0508069,Bricks,Great Britain,2020AugSeasonally Adjusted Deliveries-All Types153.05080690801/08/2020
01/08/2020,Production,All Types,142200000,Bricks,Great Britain,2020AugProduction-All Types1422000000801/08/2020
01/08/2020,Deliveries(from),All Types,147178000,Bricks,Great Britain,2020AugDeliveries(from)-All Types1471780000801/08/2020
01/08/2020,Stocks,All Types,353658000,Bricks,Great Britain,2020AugStocks-All Types3536580000801/08/2020
01/08/2020,Production,Commons,,Bricks,Great Britain,2020AugProduction-Commonsc0801/08/2020
01/08/2020,Deliveries(from),Commons,8405000,Bricks,Great Britain,2020AugDeliveries(from)-Commons84050000801/08/2020
01/08/2020,Stocks,Commons,34973000,Bricks,Great Britain,2020AugStocks-Commons349730000801/08/2020
01/08/2020,Production,Facings,119623000,Bricks,Great Britain,2020AugProduction-Facings1196230000801/08/2020
01/08/2020,Deliveries(from),Facings,125988000,Bricks,Great Britain,2020AugDeliveries(from)-Facings1259880000801/08/2020
01/08/2020,Stocks,Facings,304984000,Bricks,Great Britain,2020AugStocks-Facings3049840000801/08/2020
01/08/2020,Production,Engineerings,,Bricks,Great Britain,2020AugProduction-Engineeringsc0801/08/2020
01/08/2020,Deliveries(from),Engineerings,12785000,Bricks,Great Britain,2020AugDeliveries(from)-Engineerings127850000801/08/2020
01/08/2020,Stocks,Engineerings,13701000,Bricks,Great Britain,2020AugStocks-Engineerings137010000801/08/2020
01/09/2020,Seasonally Adjusted Deliveries,All Types,152.3417697,Bricks,Great Britain,2020SepSeasonally Adjusted Deliveries-All Types152.34176970901/09/2020
01/09/2020,Production,All Types,149280000,Bricks,Great Britain,2020SepProduction-All Types1492800000901/09/2020
01/09/2020,Deliveries(from),All Types,165275000,Bricks,Great Britain,2020SepDeliveries(from)-All Types1652750000901/09/2020
01/09/2020,Stocks,All Types,337663000,Bricks,Great Britain,2020SepStocks-All Types3376630000901/09/2020
