Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Raw Materials",Slate : unprocessed,Imports,2017,19851,01/01/2017,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20171985101/01/2017United Kingdom
" Raw Materials",Slate : unprocessed,Imports,2018,15487,01/01/2018,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20181548701/01/2018United Kingdom
" Raw Materials",Slate : unprocessed,Imports,2019,23247,01/01/2019,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20192324701/01/2019United Kingdom
" Raw Materials",Slate : unprocessed,Imports,2020,24214,01/01/2020,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedImports20202421401/01/2020United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2015,1921,01/01/2015,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports2015192101/01/2015United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2016,1286,01/01/2016,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports2016128601/01/2016United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2017,1367,01/01/2017,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports2017136701/01/2017United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2018,2490,01/01/2018,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports2018249001/01/2018United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2019,2205,01/01/2019,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports2019220501/01/2019United Kingdom
" Raw Materials",Slate : unprocessed,Exports,2020,521,01/01/2020,United Kingdom,External Trade,Raw MaterialsSlate : unprocessedExports202052101/01/2020United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2015,9810,01/01/2015,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports2015981001/01/2015United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2016,20822,01/01/2016,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports20162082201/01/2016United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2017,21173,01/01/2017,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports20172117301/01/2017United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2018,20958,01/01/2018,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports20182095801/01/2018United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2019,30185,01/01/2019,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports20193018501/01/2019United Kingdom
" Raw Materials",Gypsum & Anhydrite,Imports,2020,26193,01/01/2020,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteImports20202619301/01/2020United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2015,1649,01/01/2015,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2015164901/01/2015United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2016,1467,01/01/2016,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2016146701/01/2016United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2017,2110,01/01/2017,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2017211001/01/2017United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2018,2672,01/01/2018,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2018267201/01/2018United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2019,2235,01/01/2019,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2019223501/01/2019United Kingdom
" Raw Materials",Gypsum & Anhydrite,Exports,2020,2359,01/01/2020,United Kingdom,External Trade,Raw MaterialsGypsum & AnhydriteExports2020235901/01/2020United Kingdom
" Raw Materials",Bituminous Shale,Imports,2015,4937,01/01/2015,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2015493701/01/2015United Kingdom
" Raw Materials",Bituminous Shale,Imports,2016,4345,01/01/2016,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2016434501/01/2016United Kingdom
" Raw Materials",Bituminous Shale,Imports,2017,6310,01/01/2017,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2017631001/01/2017United Kingdom
" Raw Materials",Bituminous Shale,Imports,2018,4620,01/01/2018,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2018462001/01/2018United Kingdom
" Raw Materials",Bituminous Shale,Imports,2019,5427,01/01/2019,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2019542701/01/2019United Kingdom
" Raw Materials",Bituminous Shale,Imports,2020,1534,01/01/2020,United Kingdom,External Trade,Raw MaterialsBituminous ShaleImports2020153401/01/2020United Kingdom
" Raw Materials",Bituminous Shale,Exports,2015,2412,01/01/2015,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2015241201/01/2015United Kingdom
" Raw Materials",Bituminous Shale,Exports,2016,1892,01/01/2016,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2016189201/01/2016United Kingdom
" Raw Materials",Bituminous Shale,Exports,2017,2176,01/01/2017,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2017217601/01/2017United Kingdom
" Raw Materials",Bituminous Shale,Exports,2018,2630,01/01/2018,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2018263001/01/2018United Kingdom
" Raw Materials",Bituminous Shale,Exports,2019,3633,01/01/2019,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2019363301/01/2019United Kingdom
" Raw Materials",Bituminous Shale,Exports,2020,2350,01/01/2020,United Kingdom,External Trade,Raw MaterialsBituminous ShaleExports2020235001/01/2020United Kingdom
