Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Semi-Manufactures",Laminated Wood,Imports,2019,356181,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Imports,2020,302791,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2015,10474,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2016,17098,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2017,21840,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2018,24447,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2019,27670,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Laminated Wood,Exports,2020,24709,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2015,65275,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2016,74385,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2017,90128,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2018,103904,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2019,127511,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Imports,2020,100821,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2015,6261,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2016,6954,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2017,8230,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2018,8883,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2019,8380,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Fibreboard,Exports,2020,8727,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2015,313745,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2016,312919,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2017,378863,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2018,434401,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2019,413562,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Imports,2020,238691,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2015,174995,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2016,187788,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2017,191432,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2018,214804,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2019,179575,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Steel for Fabrication,Exports,2020,198936,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2015,494514,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2016,498713,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2017,581060,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2018,578279,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2019,489297,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Imports,2020,336260,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Exports,2015,155775,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Exports,2016,167325,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Exports,2017,190146,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Aluminium for Fabrication,Exports,2018,208494,01/01/2018,United Kingdom,External Trade,
