Date,Geographical Region,Sector,Header,Sales (Thousand tonnes),Unique_Key
01/10/2020,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2365,01/10/2020Great BritainMining and QuarryingSand & Gravel Marine-Dredged2365
01/1/2021,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13386.8388094384,01/1/2021Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13386.8388094384
01/1/2021,Great Britain,Mining and Quarrying,Sand for Building,1341,01/1/2021Great BritainMining and QuarryingSand for Building1341
01/1/2021,Great Britain,Mining and Quarrying,Sand for Concreting,5018,01/1/2021Great BritainMining and QuarryingSand for Concreting5018
01/1/2021,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4991,01/1/2021Great BritainMining and QuarryingGravel for Concreting & other uses4991
01/1/2021,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,254,01/1/2021Great BritainMining and QuarryingSand & Gravel for Coating254
01/1/2021,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",776,"01/1/2021Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill776"
01/1/2021,Great Britain,Mining and Quarrying,Sand & Gravel (Total),12381,01/1/2021Great BritainMining and QuarryingSand & Gravel (Total)12381
01/1/2021,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2220,01/1/2021Great BritainMining and QuarryingSand & Gravel Marine-Dredged2220
01/4/2021,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13613.2431633426,01/4/2021Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13613.2431633426
01/4/2021,Great Britain,Mining and Quarrying,Sand for Building,1614,01/4/2021Great BritainMining and QuarryingSand for Building1614
01/4/2021,Great Britain,Mining and Quarrying,Sand for Concreting,5782,01/4/2021Great BritainMining and QuarryingSand for Concreting5782
01/4/2021,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5936,01/4/2021Great BritainMining and QuarryingGravel for Concreting & other uses5936
01/4/2021,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,324,01/4/2021Great BritainMining and QuarryingSand & Gravel for Coating324
01/4/2021,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",937,"01/4/2021Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill937"
01/4/2021,Great Britain,Mining and Quarrying,Sand & Gravel (Total),14593,01/4/2021Great BritainMining and QuarryingSand & Gravel (Total)14593
01/4/2021,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2683,01/4/2021Great BritainMining and QuarryingSand & Gravel Marine-Dredged2683
