Date,Production/Deliveries/Stocks,Concrete Block Type,Thousand square metres,Building Material Type,Geographical Region,Unique_Key
01/12/2019,Deliveries(from),Lightweight,974.287,Concrete Products,Great Britain,01/12/2019Deliveries(from)Lightweight974.287Concrete ProductsGreat Britain
01/12/2019,Stocks,Lightweight,2251.922,Concrete Products,Great Britain,01/12/2019StocksLightweight2251.922Concrete ProductsGreat Britain
01/12/2019,Production,Aerated,2455.73,Concrete Products,Great Britain,01/12/2019ProductionAerated2455.73Concrete ProductsGreat Britain
01/12/2019,Deliveries(from),Aerated,1561.58,Concrete Products,Great Britain,01/12/2019Deliveries(from)Aerated1561.58Concrete ProductsGreat Britain
01/12/2019,Stocks,Aerated,3947.74,Concrete Products,Great Britain,01/12/2019StocksAerated3947.74Concrete ProductsGreat Britain
01/01/2020,Seasonally Adjusted Deliveries,All Types,6456.10458296184,Concrete Products,Great Britain,01/01/2020Seasonally Adjusted DeliveriesAll Types6456.10458296184Concrete ProductsGreat Britain
01/01/2020,Production,All Types,5762.851,Concrete Products,Great Britain,01/01/2020ProductionAll Types5762.851Concrete ProductsGreat Britain
01/01/2020,Deliveries(from),All Types,5476.33,Concrete Products,Great Britain,01/01/2020Deliveries(from)All Types5476.33Concrete ProductsGreat Britain
01/01/2020,Stocks,All Types,9430.86,Concrete Products,Great Britain,01/01/2020StocksAll Types9430.86Concrete ProductsGreat Britain
01/01/2020,Production,Dense,1787.347,Concrete Products,Great Britain,01/01/2020ProductionDense1787.347Concrete ProductsGreat Britain
01/01/2020,Deliveries(from),Dense,1756.124,Concrete Products,Great Britain,01/01/2020Deliveries(from)Dense1756.124Concrete ProductsGreat Britain
01/01/2020,Stocks,Dense,2975.9,Concrete Products,Great Britain,01/01/2020StocksDense2975.9Concrete ProductsGreat Britain
01/01/2020,Production,Lightweight,1424.614,Concrete Products,Great Britain,01/01/2020ProductionLightweight1424.614Concrete ProductsGreat Britain
01/01/2020,Deliveries(from),Lightweight,1532.946,Concrete Products,Great Britain,01/01/2020Deliveries(from)Lightweight1532.946Concrete ProductsGreat Britain
01/01/2020,Stocks,Lightweight,2143.59,Concrete Products,Great Britain,01/01/2020StocksLightweight2143.59Concrete ProductsGreat Britain
01/01/2020,Production,Aerated,2550.89,Concrete Products,Great Britain,01/01/2020ProductionAerated2550.89Concrete ProductsGreat Britain
01/01/2020,Deliveries(from),Aerated,2187.26,Concrete Products,Great Britain,01/01/2020Deliveries(from)Aerated2187.26Concrete ProductsGreat Britain
01/01/2020,Stocks,Aerated,4311.37,Concrete Products,Great Britain,01/01/2020StocksAerated4311.37Concrete ProductsGreat Britain
01/02/2020,Seasonally Adjusted Deliveries,All Types,6272.56793327148,Concrete Products,Great Britain,01/02/2020Seasonally Adjusted DeliveriesAll Types6272.56793327148Concrete ProductsGreat Britain
01/02/2020,Production,All Types,5843.742,Concrete Products,Great Britain,01/02/2020ProductionAll Types5843.742Concrete ProductsGreat Britain
01/02/2020,Deliveries(from),All Types,5664.523,Concrete Products,Great Britain,01/02/2020Deliveries(from)All Types5664.523Concrete ProductsGreat Britain
01/02/2020,Stocks,All Types,9610.079,Concrete Products,Great Britain,01/02/2020StocksAll Types9610.079Concrete ProductsGreat Britain
01/02/2020,Production,Dense,1779.096,Concrete Products,Great Britain,01/02/2020ProductionDense1779.096Concrete ProductsGreat Britain
01/02/2020,Deliveries(from),Dense,1782.103,Concrete Products,Great Britain,01/02/2020Deliveries(from)Dense1782.103Concrete ProductsGreat Britain
01/02/2020,Stocks,Dense,2972.893,Concrete Products,Great Britain,01/02/2020StocksDense2972.893Concrete ProductsGreat Britain
01/02/2020,Production,Lightweight,1665.816,Concrete Products,Great Britain,01/02/2020ProductionLightweight1665.816Concrete ProductsGreat Britain
01/02/2020,Deliveries(from),Lightweight,1539.68,Concrete Products,Great Britain,01/02/2020Deliveries(from)Lightweight1539.68Concrete ProductsGreat Britain
01/02/2020,Stocks,Lightweight,2269.726,Concrete Products,Great Britain,01/02/2020StocksLightweight2269.726Concrete ProductsGreat Britain
01/02/2020,Production,Aerated,2398.83,Concrete Products,Great Britain,01/02/2020ProductionAerated2398.83Concrete ProductsGreat Britain
01/02/2020,Deliveries(from),Aerated,2342.74,Concrete Products,Great Britain,01/02/2020Deliveries(from)Aerated2342.74Concrete ProductsGreat Britain
01/02/2020,Stocks,Aerated,4367.46,Concrete Products,Great Britain,01/02/2020StocksAerated4367.46Concrete ProductsGreat Britain
01/03/2020,Seasonally Adjusted Deliveries,All Types,5153.85634282001,Concrete Products,Great Britain,01/03/2020Seasonally Adjusted DeliveriesAll Types5153.85634282001Concrete ProductsGreat Britain
01/03/2020,Production,All Types,5160.266,Concrete Products,Great Britain,01/03/2020ProductionAll Types5160.266Concrete ProductsGreat Britain
01/03/2020,Deliveries(from),All Types,5379.477,Concrete Products,Great Britain,01/03/2020Deliveries(from)All Types5379.477Concrete ProductsGreat Britain
01/03/2020,Stocks,All Types,9366.976,Concrete Products,Great Britain,01/03/2020StocksAll Types9366.976Concrete ProductsGreat Britain
01/03/2020,Production,Dense,1534.65,Concrete Products,Great Britain,01/03/2020ProductionDense1534.65Concrete ProductsGreat Britain
01/03/2020,Deliveries(from),Dense,1653.769,Concrete Products,Great Britain,01/03/2020Deliveries(from)Dense1653.769Concrete ProductsGreat Britain
01/03/2020,Stocks,Dense,2852.903,Concrete Products,Great Britain,01/03/2020StocksDense2852.903Concrete ProductsGreat Britain
01/03/2020,Production,Lightweight,1361.276,Concrete Products,Great Britain,01/03/2020ProductionLightweight1361.276Concrete ProductsGreat Britain
01/03/2020,Deliveries(from),Lightweight,1429.728,Concrete Products,Great Britain,01/03/2020Deliveries(from)Lightweight1429.728Concrete ProductsGreat Britain
01/03/2020,Stocks,Lightweight,2178.253,Concrete Products,Great Britain,01/03/2020StocksLightweight2178.253Concrete ProductsGreat Britain
01/03/2020,Production,Aerated,2264.34,Concrete Products,Great Britain,01/03/2020ProductionAerated2264.34Concrete ProductsGreat Britain
01/03/2020,Deliveries(from),Aerated,2295.98,Concrete Products,Great Britain,01/03/2020Deliveries(from)Aerated2295.98Concrete ProductsGreat Britain
01/03/2020,Stocks,Aerated,4335.82,Concrete Products,Great Britain,01/03/2020StocksAerated4335.82Concrete ProductsGreat Britain
01/04/2020,Seasonally Adjusted Deliveries,All Types,1506.61745132819,Concrete Products,Great Britain,01/04/2020Seasonally Adjusted DeliveriesAll Types1506.61745132819Concrete ProductsGreat Britain
01/04/2020,Production,All Types,731.961,Concrete Products,Great Britain,01/04/2020ProductionAll Types731.961Concrete ProductsGreat Britain
01/04/2020,Deliveries(from),All Types,1634.115,Concrete Products,Great Britain,01/04/2020Deliveries(from)All Types1634.115Concrete ProductsGreat Britain
01/04/2020,Stocks,All Types,8455.556,Concrete Products,Great Britain,01/04/2020StocksAll Types8455.556Concrete ProductsGreat Britain
01/04/2020,Production,Dense,554.114,Concrete Products,Great Britain,01/04/2020ProductionDense554.114Concrete ProductsGreat Britain
01/04/2020,Deliveries(from),Dense,840.104,Concrete Products,Great Britain,01/04/2020Deliveries(from)Dense840.104Concrete ProductsGreat Britain
01/04/2020,Stocks,Dense,2550.645,Concrete Products,Great Britain,01/04/2020StocksDense2550.645Concrete ProductsGreat Britain
01/04/2020,Production,Lightweight,,Concrete Products,Great Britain,01/04/2020ProductionLightweightConcrete ProductsGreat Britain
01/04/2020,Deliveries(from),Lightweight,,Concrete Products,Great Britain,01/04/2020Deliveries(from)LightweightConcrete ProductsGreat Britain
01/04/2020,Stocks,Lightweight,2041.851,Concrete Products,Great Britain,01/04/2020StocksLightweight2041.851Concrete ProductsGreat Britain
01/04/2020,Production,Aerated,,Concrete Products,Great Britain,01/04/2020ProductionAeratedConcrete ProductsGreat Britain
01/04/2020,Deliveries(from),Aerated,,Concrete Products,Great Britain,01/04/2020Deliveries(from)AeratedConcrete ProductsGreat Britain
01/04/2020,Stocks,Aerated,3863.06,Concrete Products,Great Britain,01/04/2020StocksAerated3863.06Concrete ProductsGreat Britain
01/05/2020,Seasonally Adjusted Deliveries,All Types,3172.02278854071,Concrete Products,Great Britain,01/05/2020Seasonally Adjusted DeliveriesAll Types3172.02278854071Concrete ProductsGreat Britain
01/05/2020,Production,All Types,2355.362,Concrete Products,Great Britain,01/05/2020ProductionAll Types2355.362Concrete ProductsGreat Britain
01/05/2020,Deliveries(from),All Types,3385.351,Concrete Products,Great Britain,01/05/2020Deliveries(from)All Types3385.351Concrete ProductsGreat Britain
01/05/2020,Stocks,All Types,7580.022,Concrete Products,Great Britain,01/05/2020StocksAll Types7580.022Concrete ProductsGreat Britain
01/05/2020,Production,Dense,1196.312,Concrete Products,Great Britain,01/05/2020ProductionDense1196.312Concrete ProductsGreat Britain
01/05/2020,Deliveries(from),Dense,1481.204,Concrete Products,Great Britain,01/05/2020Deliveries(from)Dense1481.204Concrete ProductsGreat Britain
01/05/2020,Stocks,Dense,2174.384,Concrete Products,Great Britain,01/05/2020StocksDense2174.384Concrete ProductsGreat Britain
01/05/2020,Production,Lightweight,,Concrete Products,Great Britain,01/05/2020ProductionLightweightConcrete ProductsGreat Britain
01/05/2020,Deliveries(from),Lightweight,,Concrete Products,Great Britain,01/05/2020Deliveries(from)LightweightConcrete ProductsGreat Britain
01/05/2020,Stocks,Lightweight,1604.778,Concrete Products,Great Britain,01/05/2020StocksLightweight1604.778Concrete ProductsGreat Britain
01/05/2020,Production,Aerated,,Concrete Products,Great Britain,01/05/2020ProductionAeratedConcrete ProductsGreat Britain
