Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,2015,2016,2017,2018,2019,2020
" Products & Components",Lead Pipes & Fittings**,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Lead Pipes & Fittings**,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Zinc Pipes & Fittings*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Zinc Pipes & Fittings*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Zinc Building Products*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Zinc Building Products*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Zinc Building Products*,Imports,17863,21071,23385,28284,20236,12149
" Products & Components",Zinc Building Products*,Exports,33036,36537,43660,50190,20236,45064
" Products & Components",Plastic Pipes,Imports,135611,135985,153533,180619,199580,205136
" Products & Components",Plastic Pipes,Exports,149220,169877,179551,200815,208114,206508
" Products & Components",Other Plastic Building Products,Imports,205501,236608,278267,281008,292647,296469
" Products & Components",Other Plastic Building Products,Exports,124773,136731,158179,177535,183960,167035
" Products & Components",Builders Ironmongery,Imports,371498,386506,451700,493945,529226,445034
" Products & Components",Builders Ironmongery,Exports,138961,164424,225751,231937,264240,211737
" Products & Components",Nails & Screws,Imports,68360,80506,86634,92634,94145,77724
" Products & Components",Nails & Screws,Exports,8023,8752,10051,11408,10566,11278
" Products & Components","Mastics, Putty",Imports,180937,210808,222507,246691,235684,220029
" Products & Components","Mastics, Putty",Exports,137914,161286,178310,202546,219136,211525
" Products & Components",Paints & Varnishes,Imports,437542,477875,545870,539296,522156,490170
" Products & Components",Paints & Varnishes,Exports,607263,608147,669195,716884,751684,687935
" Products & Components",Paints & Varnishes,,2015,2016,2017,2018,2019,2020
" Products & Components",Unglazed Ceramic Tiles,Imports,69862,76768,359291,328391,365387,339715
" Products & Components",Unglazed Ceramic Tiles,Exports,3710,4726,22498,20862,15871,18722
" Products & Components",Glazed Ceramic Tiles,Imports,203113,229910,"              :","              :","              :","              :"
" Products & Components",Glazed Ceramic Tiles,Exports,15867,15967,"              :","              :","              :","              :"
" Products & Components",Ceramic Sanitaryware,Imports,201395,211761,223463,215855,239905,188398
" Products & Components",Ceramic Sanitaryware,Exports,29386,31926,36163,40118,41436,33416
" Products & Components",Plastic Sanitaryware,Imports,137983,147671,163898,168461,173206,157997
" Products & Components",Plastic Sanitaryware,Exports,47037,54262,61389,65988,66016,55157
" Products & Components",Metal Sanitaryware,Imports,133225,144313,171007,157017,152477,129026
" Products & Components",Metal Sanitaryware,Exports,38149,44020,45863,45732,41637,40933
" Products & Components",Flat Glass,Imports,50804,69236,63909,71916,56990,48341
" Products & Components",Flat Glass,Exports,25317,24907,30738,30631,27942,30322
" Products & Components",Other Glass Products,Imports,82429,92256,106388,122532,134212,124397
" Products & Components",Other Glass Products,Exports,27101,33141,37574,43421,52960,54145
" Products & Components",Wood Veneers,Imports,29763,34648,26450,29312,20093,21538
" Products & Components",Wood Veneers,Exports,4591,5783,4814,3581,3461,3067
" Products & Components",Wood Mouldings,Imports,68027,67647,64155,64276,55240,53237
" Products & Components",Wood Mouldings,Exports,9786,9545,12038,17062,17452,17210
" Products & Components",Wood Block Flooring,Imports,177410,182219,220274,180494,193649,152672
" Products & Components",Wood Block Flooring,Exports,7329,9981,10318,12675,10383,9975
" Products & Components",Other Builder's Woodwork,Imports,118448,130673,153461,134493,152560,146653
" Products & Components",Other Builder's Woodwork,Exports,13887,13128,17039,15782,16536,14418
" Products & Components",Windows (wood),Imports,151026,176592,198835,204034,207409,187431
" Products & Components",Windows (wood),Exports,12580,12168,12041,13075,10737,12005
" Products & Components",Doors (wood),Imports,228777,253717,260881,260979,272113,237836
" Products & Components",Doors (wood),Exports,17141,19948,20203,32963,30966,25958
" Products & Components",Doors & Windows (steel),Imports,46899,54702,63021,66576,77091,67687
" Products & Components",Doors & Windows (steel),Exports,29452,32971,34182,34326,38987,39516
" Products & Components",Doors & Windows (aluminium),Imports,76900,92369,128564,155043,137473,134988
" Products & Components",Doors & Windows (aluminium),Exports,21563,24770,31516,35900,40377,25743
" Products & Components",Doors & Windows (plastic),Imports,63762,70187,79104,93544,104088,81994
" Products & Components",Doors & Windows (plastic),Exports,38945,35657,37585,39599,41187,38342
" Products & Components",Cork Tiles,Imports,1581,1061,1082,1111,1500,1213
" Products & Components",Cork Tiles,Exports,2456,2075,2445,2099,2696,2135
" Products & Components",Linoleum Floor Coverings,Imports,364202,405910,472668,485706,545328,560019
" Products & Components",Linoleum Floor Coverings,Exports,221618,254686,298418,321021,317504,277659
" Products & Components",Wallpaper,Imports,67081,65756,74965,84113,93189,91375
" Products & Components",Wallpaper,Exports,74091,84422,81229,77000,85069,75252
