Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2015," Semi-Manufactures",Steel for Fabrication,Imports,313745,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Steel for Fabrication,Imports,312919,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Steel for Fabrication,Imports,378863,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Steel for Fabrication,Imports,434401,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Steel for Fabrication,Imports,413562,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Steel for Fabrication,Imports,238691,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Steel for Fabrication,Exports,174995,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Steel for Fabrication,Exports,187788,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Steel for Fabrication,Exports,191432,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Steel for Fabrication,Exports,214804,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Steel for Fabrication,Exports,179575,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Steel for Fabrication,Exports,198936,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Aluminium for Fabrication,Imports,494514,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Aluminium for Fabrication,Imports,498713,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Aluminium for Fabrication,Imports,581060,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Aluminium for Fabrication,Imports,578279,United Kingdom,External Trade
01/01/2019," Semi-Manufactures",Aluminium for Fabrication,Imports,489297,United Kingdom,External Trade
01/01/2020," Semi-Manufactures",Aluminium for Fabrication,Imports,336260,United Kingdom,External Trade
01/01/2015," Semi-Manufactures",Aluminium for Fabrication,Exports,155775,United Kingdom,External Trade
01/01/2016," Semi-Manufactures",Aluminium for Fabrication,Exports,167325,United Kingdom,External Trade
01/01/2017," Semi-Manufactures",Aluminium for Fabrication,Exports,190146,United Kingdom,External Trade
01/01/2018," Semi-Manufactures",Aluminium for Fabrication,Exports,208494,United Kingdom,External Trade
