Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2018," Raw Materials",Slate : unprocessed,Exports,2490,United Kingdom,External Trade,01/01/2018Raw MaterialsSlate : unprocessedExports2490United KingdomExternal Trade
01/01/2019," Raw Materials",Slate : unprocessed,Exports,2205,United Kingdom,External Trade,01/01/2019Raw MaterialsSlate : unprocessedExports2205United KingdomExternal Trade
01/01/2020," Raw Materials",Slate : unprocessed,Exports,521,United Kingdom,External Trade,01/01/2020Raw MaterialsSlate : unprocessedExports521United KingdomExternal Trade
01/01/2015," Raw Materials",Gypsum & Anhydrite,Imports,9810,United Kingdom,External Trade,01/01/2015Raw MaterialsGypsum & AnhydriteImports9810United KingdomExternal Trade
01/01/2016," Raw Materials",Gypsum & Anhydrite,Imports,20822,United Kingdom,External Trade,01/01/2016Raw MaterialsGypsum & AnhydriteImports20822United KingdomExternal Trade
01/01/2017," Raw Materials",Gypsum & Anhydrite,Imports,21173,United Kingdom,External Trade,01/01/2017Raw MaterialsGypsum & AnhydriteImports21173United KingdomExternal Trade
01/01/2018," Raw Materials",Gypsum & Anhydrite,Imports,20958,United Kingdom,External Trade,01/01/2018Raw MaterialsGypsum & AnhydriteImports20958United KingdomExternal Trade
01/01/2019," Raw Materials",Gypsum & Anhydrite,Imports,30185,United Kingdom,External Trade,01/01/2019Raw MaterialsGypsum & AnhydriteImports30185United KingdomExternal Trade
01/01/2020," Raw Materials",Gypsum & Anhydrite,Imports,26193,United Kingdom,External Trade,01/01/2020Raw MaterialsGypsum & AnhydriteImports26193United KingdomExternal Trade
01/01/2015," Raw Materials",Gypsum & Anhydrite,Exports,1649,United Kingdom,External Trade,01/01/2015Raw MaterialsGypsum & AnhydriteExports1649United KingdomExternal Trade
01/01/2016," Raw Materials",Gypsum & Anhydrite,Exports,1467,United Kingdom,External Trade,01/01/2016Raw MaterialsGypsum & AnhydriteExports1467United KingdomExternal Trade
01/01/2017," Raw Materials",Gypsum & Anhydrite,Exports,2110,United Kingdom,External Trade,01/01/2017Raw MaterialsGypsum & AnhydriteExports2110United KingdomExternal Trade
01/01/2018," Raw Materials",Gypsum & Anhydrite,Exports,2672,United Kingdom,External Trade,01/01/2018Raw MaterialsGypsum & AnhydriteExports2672United KingdomExternal Trade
01/01/2019," Raw Materials",Gypsum & Anhydrite,Exports,2235,United Kingdom,External Trade,01/01/2019Raw MaterialsGypsum & AnhydriteExports2235United KingdomExternal Trade
01/01/2020," Raw Materials",Gypsum & Anhydrite,Exports,2359,United Kingdom,External Trade,01/01/2020Raw MaterialsGypsum & AnhydriteExports2359United KingdomExternal Trade
01/01/2015," Raw Materials",Bituminous Shale,Imports,4937,United Kingdom,External Trade,01/01/2015Raw MaterialsBituminous ShaleImports4937United KingdomExternal Trade
01/01/2016," Raw Materials",Bituminous Shale,Imports,4345,United Kingdom,External Trade,01/01/2016Raw MaterialsBituminous ShaleImports4345United KingdomExternal Trade
01/01/2017," Raw Materials",Bituminous Shale,Imports,6310,United Kingdom,External Trade,01/01/2017Raw MaterialsBituminous ShaleImports6310United KingdomExternal Trade
01/01/2018," Raw Materials",Bituminous Shale,Imports,4620,United Kingdom,External Trade,01/01/2018Raw MaterialsBituminous ShaleImports4620United KingdomExternal Trade
01/01/2019," Raw Materials",Bituminous Shale,Imports,5427,United Kingdom,External Trade,01/01/2019Raw MaterialsBituminous ShaleImports5427United KingdomExternal Trade
01/01/2020," Raw Materials",Bituminous Shale,Imports,1534,United Kingdom,External Trade,01/01/2020Raw MaterialsBituminous ShaleImports1534United KingdomExternal Trade
01/01/2015," Raw Materials",Bituminous Shale,Exports,2412,United Kingdom,External Trade,01/01/2015Raw MaterialsBituminous ShaleExports2412United KingdomExternal Trade
01/01/2016," Raw Materials",Bituminous Shale,Exports,1892,United Kingdom,External Trade,01/01/2016Raw MaterialsBituminous ShaleExports1892United KingdomExternal Trade
01/01/2017," Raw Materials",Bituminous Shale,Exports,2176,United Kingdom,External Trade,01/01/2017Raw MaterialsBituminous ShaleExports2176United KingdomExternal Trade
01/01/2018," Raw Materials",Bituminous Shale,Exports,2630,United Kingdom,External Trade,01/01/2018Raw MaterialsBituminous ShaleExports2630United KingdomExternal Trade
01/01/2019," Raw Materials",Bituminous Shale,Exports,3633,United Kingdom,External Trade,01/01/2019Raw MaterialsBituminous ShaleExports3633United KingdomExternal Trade
01/01/2020," Raw Materials",Bituminous Shale,Exports,2350,United Kingdom,External Trade,01/01/2020Raw MaterialsBituminous ShaleExports2350United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Clinker,Imports,49491,United Kingdom,External Trade,01/01/2015Semi-ManufacturesClinkerImports49491United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Clinker,Imports,49305,United Kingdom,External Trade,01/01/2016Semi-ManufacturesClinkerImports49305United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Clinker,Imports,51769,United Kingdom,External Trade,01/01/2017Semi-ManufacturesClinkerImports51769United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Clinker,Imports,65055,United Kingdom,External Trade,01/01/2018Semi-ManufacturesClinkerImports65055United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Clinker,Imports,39541,United Kingdom,External Trade,01/01/2019Semi-ManufacturesClinkerImports39541United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Clinker,Imports,20880,United Kingdom,External Trade,01/01/2020Semi-ManufacturesClinkerImports20880United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Clinker,Exports,1368,United Kingdom,External Trade,01/01/2015Semi-ManufacturesClinkerExports1368United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Clinker,Exports,3303,United Kingdom,External Trade,01/01/2016Semi-ManufacturesClinkerExports3303United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Clinker,Exports,1646,United Kingdom,External Trade,01/01/2017Semi-ManufacturesClinkerExports1646United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Clinker,Exports,1016,United Kingdom,External Trade,01/01/2018Semi-ManufacturesClinkerExports1016United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Clinker,Exports,774,United Kingdom,External Trade,01/01/2019Semi-ManufacturesClinkerExports774United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Clinker,Exports,966,United Kingdom,External Trade,01/01/2020Semi-ManufacturesClinkerExports966United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,783597,United Kingdom,External Trade,01/01/2015Semi-ManufacturesSawn Wood > 6mm thickImports783597United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,838098,United Kingdom,External Trade,01/01/2016Semi-ManufacturesSawn Wood > 6mm thickImports838098United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,859243,United Kingdom,External Trade,01/01/2017Semi-ManufacturesSawn Wood > 6mm thickImports859243United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,883365,United Kingdom,External Trade,01/01/2018Semi-ManufacturesSawn Wood > 6mm thickImports883365United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,798895,United Kingdom,External Trade,01/01/2019Semi-ManufacturesSawn Wood > 6mm thickImports798895United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Sawn Wood > 6mm thick,Imports,832663,United Kingdom,External Trade,01/01/2020Semi-ManufacturesSawn Wood > 6mm thickImports832663United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,18626,United Kingdom,External Trade,01/01/2015Semi-ManufacturesSawn Wood > 6mm thickExports18626United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,20373,United Kingdom,External Trade,01/01/2016Semi-ManufacturesSawn Wood > 6mm thickExports20373United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,26705,United Kingdom,External Trade,01/01/2017Semi-ManufacturesSawn Wood > 6mm thickExports26705United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Sawn Wood > 6mm thick,Exports,32062,United Kingdom,External Trade,01/01/2018Semi-ManufacturesSawn Wood > 6mm thickExports32062United KingdomExternal Trade
